Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-R,,11,,20,136.265,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,136.580,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,138.880,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,140.200,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,140.270,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,140.310,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,140.360,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,141.375,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,141.425,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,141.515,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,141.565,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,141.965,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,142.030,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,142.116,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,142.190,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,142.225,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,142.266,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,142.305,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,142.320,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,142.525,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,142.675,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,144.146,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,144.155,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,145.530,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,145.585,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,146.065,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,146.320,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,146.360,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,146.450,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,148.045,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,148.060,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,148.405,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,148.830,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,148.865,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,148.880,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,148.925,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,149.070,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,149.255,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,149.635,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,149.720,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,149.755,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,149.915,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,150.040,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,150.055,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,150.935,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,150.980,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,151.100,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,151.180,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,152.670,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,156.105,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,156.125,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,156.406,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,157.220,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,158.315,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,167.220,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,168.975,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,168.995,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,169.100,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,170.280,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,171.415,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,171.705,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,172.505,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,180.281,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,188.415,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,188.435,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,188.590,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,189.410,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,189.450,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,189.495,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,190.685,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,193.105,4,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,193.555,4,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,11,,20,199.410,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,202.731,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,202.755,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,202.796,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,203.420,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,203.560,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,204.490,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,207.765,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,214.490,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,218.300,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,218.730,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,11,,20,224.115,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,224.135,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,224.385,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,225.655,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,226.006,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,227.440,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,229.560,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,229.910,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,230.385,4,0,0,0,0,0,0,0,0,0,1
