Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-L,,4,,19,0.000,0,0,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,0.005,0,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,16.790,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,16.855,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,18.200,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,18.330,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,29.136,1,2,2,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,29.160,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,29.295,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,33.030,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,33.420,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,43.030,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,45.245,1,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,45.465,1,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-L,,4,,19,51.370,1,2,2,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,51.390,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,51.415,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,51.455,3,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,51.510,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,51.525,3,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,51.705,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,52.280,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,60.910,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,61.215,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,61.475,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,62.280,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,63.455,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,63.490,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,63.500,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,63.570,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,65.745,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,66.715,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,89.615,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,89.895,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,94.495,1,2,2,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,94.515,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,94.555,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,95.836,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,95.920,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,96.155,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,96.740,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,97.355,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,97.915,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,105.840,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,116.070,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,116.175,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,116.365,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,116.780,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,116.935,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,117.451,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,121.940,1,2,2,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,121.960,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,122.270,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,123.220,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,123.367,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,123.367,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,125.050,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,133.220,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,167.195,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,167.310,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,192.600,1,2,2,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,192.620,2,3,0,0,0,0,0,0,0,0,0
