Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-R,,6,,13,0.000,0,0,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,0.005,0,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,34.761,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,34.785,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,34.935,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,6,,13,36.775,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,37.815,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,46.776,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,101.020,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,101.680,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,242.850,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,242.870,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,242.990,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,6,,13,244.566,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,245.055,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,254.570,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,257.765,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,257.785,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,258.021,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,6,,13,260.785,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,262.285,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,262.300,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,262.560,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,270.786,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,279.290,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,279.711,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,320.405,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,320.425,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,320.600,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,6,,13,321.835,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,322.816,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,331.436,4,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,331.615,4,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,6,,13,331.835,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,334.545,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,334.565,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,334.695,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,6,,13,336.375,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,337.665,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,346.375,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,348.000,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,348.245,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,360.766,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,360.850,1,0,0,0,0,0,0,0,0,0,1
