Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-R,,3,,2,153.625,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,161.600,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,162.955,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,166.360,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,174.530,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,174.625,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,174.675,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,174.740,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,174.760,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,175.540,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,182.165,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,183.755,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,183.890,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,183.935,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,184.015,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,186.700,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,186.795,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,186.845,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,186.915,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,187.280,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,187.610,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,188.370,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,188.670,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,188.865,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,193.675,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,193.880,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,203.240,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,203.275,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,203.320,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,203.600,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,203.725,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,204.165,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,212.340,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,212.360,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,215.650,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,216.065,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,220.845,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,220.920,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,222.825,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,232.030,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,232.070,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,232.250,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,232.765,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,232.765,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,232.955,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,232.975,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,233.721,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,233.890,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,234.730,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,234.865,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,235.725,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,235.905,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,236.255,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,236.280,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,236.520,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,236.615,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,237.231,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,237.255,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,237.755,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,237.800,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,239.215,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,239.285,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,239.345,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,239.370,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,239.410,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,239.420,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,239.625,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,239.630,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,239.820,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,239.905,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,240.001,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,240.015,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,240.095,3,0,0,0,0,0,0,1,0,0,0
