Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-R,,6,,13,0.000,0,0,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,0.005,0,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,3.761,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,4.070,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,25.185,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,25.475,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,61.316,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,61.341,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,61.605,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,6,,13,74.655,3,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,75.210,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,6,,13,104.470,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,106.065,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,114.470,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,115.880,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,115.966,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,116.045,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,118.760,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,119.120,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,119.650,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,127.945,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,128.220,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,128.330,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,129.540,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,135.890,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,135.910,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,136.196,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,6,,13,147.790,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,147.960,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,6,,13,158.460,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,158.776,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,159.050,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,160.415,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,168.460,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,169.235,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,171.865,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,171.881,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,6,,13,172.375,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,6,,13,188.325,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,188.345,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,188.745,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,6,,13,195.511,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,6,,13,196.890,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,6,,13,199.620,3,0,0,0,1,0,0,0,0,0,0
