Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-R,,11,,20,0.000,0,0,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,0.005,0,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,5.420,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,5.440,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,5.565,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,6.170,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,6.205,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,6.240,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,9.760,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,9.915,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,11.405,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,16.170,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,16.426,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,17.655,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,22.016,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,22.345,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,22.465,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,23.315,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,24.390,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,24.410,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,24.665,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,25.551,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,27.680,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,32.815,4,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,32.855,4,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,34.960,4,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,35.495,4,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,35.555,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,38.290,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,38.310,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,38.515,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,39.245,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,40.970,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,46.335,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,49.245,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,52.220,1,2,1,1,0,0,0,0,0,0,0
