Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-L,,4,,19,0.000,0,0,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,0.005,0,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,78.010,1,2,2,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,78.031,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,78.170,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,80.225,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,80.260,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,80.270,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,80.330,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,80.360,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,81.195,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,90.225,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,110.670,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,111.105,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,135.466,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,136.195,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,142.135,1,2,2,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,142.155,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,142.830,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,145.220,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,145.275,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,145.290,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,146.150,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,155.220,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,177.420,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,177.995,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,180.905,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,180.945,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,180.985,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,181.100,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,189.110,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,189.165,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,189.220,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,189.415,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,207.845,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,209.545,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,209.670,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,210.875,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,210.880,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,210.975,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,211.091,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,214.021,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,214.995,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,215.035,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,215.070,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,215.410,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,215.450,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,215.595,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,215.780,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,221.560,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,222.070,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,225.445,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,240.885,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,240.920,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,241.005,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,241.715,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,241.750,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,243.180,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,246.555,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,247.090,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,247.200,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,247.260,1,0,0,0,0,0,0,0,0,0,1
