Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-R,,11,,20,0.000,0,0,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,0.005,0,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,6.300,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,6.320,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,6.345,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,7.210,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,10.035,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,12.465,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,13.541,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,13.670,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,17.210,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,17.985,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,18.020,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,19.555,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,23.530,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,23.745,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,23.855,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,24.285,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,26.595,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,26.615,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,26.675,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,29.610,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,30.210,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,30.405,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,32.845,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,39.610,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,41.290,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,44.730,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,44.885,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,45.310,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,45.460,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,49.545,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,49.655,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,49.760,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,50.760,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,52.270,1,0,0,0,0,0,0,0,0,0,1
