Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-R,,3,,2,0.000,0,0,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,0.006,0,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,2.285,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,2.765,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,8.586,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,8.610,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,8.850,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,10.845,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,11.515,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,20.845,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,21.885,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,21.905,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,22.265,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,23.665,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,24.111,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,26.520,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,26.575,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,26.595,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,26.745,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,33.665,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,36.375,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,36.455,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,44.506,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,44.530,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,44.735,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,46.020,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,46.060,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,46.105,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,46.515,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,56.020,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,61.820,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,62.265,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,64.815,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,64.835,2,3,0,0,0,0,0,0,0,0,0
