Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-R,,11,,20,0.000,0,0,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,0.005,0,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,3.970,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,3.990,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,4.090,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,5.155,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,6.855,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,6.885,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,6.960,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,15.155,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,16.410,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,16.430,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,16.660,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,17.915,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,17.985,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,18.040,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,19.300,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,19.360,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,19.570,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,23.585,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,23.905,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,27.915,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,31.330,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,31.465,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,31.480,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,31.620,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,31.775,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,32.356,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,32.770,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,36.585,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,36.605,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,36.660,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,37.760,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,38.685,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,38.791,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,39.035,4,0,0,0,0,0,0,0,0,0,1
