Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-L,,4,,19,0.000,0,0,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,0.004,0,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,5.269,1,2,2,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,5.289,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,5.394,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,5.699,3,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,6.144,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,11.109,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,12.209,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,21.110,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,63.559,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,64.234,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,74.584,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,74.654,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,74.719,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,74.959,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,94.284,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,94.834,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,95.124,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,95.869,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,99.119,1,2,2,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,99.139,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,99.614,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,100.124,3,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,102.899,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,104.859,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,106.669,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-L,,4,,19,106.784,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,109.934,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-L,,4,,19,114.874,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,119.114,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-L,,4,,19,119.399,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,123.384,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-L,,4,,19,123.404,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,123.584,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-L,,4,,19,140.579,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,143.129,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,143.619,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,144.315,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,144.819,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,145.279,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,150.579,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,154.529,1,2,2,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,154.549,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,157.299,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,157.339,3,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,157.899,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,159.569,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,162.140,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,164.569,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,164.659,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,169.569,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,179.159,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,179.584,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,184.159,1,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,184.499,1,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-L,,4,,19,184.529,1,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,188.244,1,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-L,,4,,19,188.299,1,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,188.359,1,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-L,,4,,19,191.579,1,2,2,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,191.599,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,191.894,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,193.484,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,195.910,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,196.130,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,196.549,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,203.449,4,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,203.484,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,204.109,1,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-L,,4,,19,205.414,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,205.834,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,217.279,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,220.439,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,220.504,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,224.869,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,225.085,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,226.635,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,229.094,1,2,2,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,229.114,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,231.584,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,233.194,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,235.839,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,243.004,4,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,243.195,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,243.799,1,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-L,,4,,19,245.654,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,245.725,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,245.809,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,246.154,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,246.634,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,246.949,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,252.639,1,2,2,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,252.659,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,253.149,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,253.379,3,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,253.504,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,256.949,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,258.379,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,263.204,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,263.494,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,263.634,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,264.069,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,265.374,4,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,265.619,4,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,265.879,4,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,266.949,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,268.659,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,268.930,1,2,2,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,268.954,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,271.724,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,271.864,3,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,271.919,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-L,,4,,19,274.139,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,275.449,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-L,,4,,19,276.739,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-L,,4,,19,278.129,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-L,,4,,19,286.739,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-L,,4,,19,293.144,1,2,2,0,1,0,0,0,0,0,0
