Trial,Resp,Type,Correct,Latency,Stim/Resp
3,0,20,1,2000,Stim
4,0,28,1,2000,Stim
5,4,10,1,540,Stim
6,0,27,1,2000,Stim
7,0,29,1,2000,Stim
8,4,10,1,472,Stim
9,0,21,1,2000,Stim
10,0,23,1,2000,Stim
11,0,24,1,2000,Stim
12,4,10,1,407,Stim
13,0,26,1,2000,Stim
14,0,27,1,2000,Stim
15,0,25,1,2000,Stim
16,4,10,1,415,Stim
17,0,22,1,2000,Stim
18,0,29,1,2000,Stim
19,4,10,1,597,Stim
20,0,20,1,2000,Stim
21,0,28,1,2000,Stim
22,4,10,1,525,Stim
23,4,28,0,404,Stim
24,0,27,1,2000,Stim
25,0,21,1,2000,Stim
26,0,23,1,2000,Stim
27,4,10,1,496,Stim
28,0,27,1,2000,Stim
29,0,24,1,2000,Stim
30,0,25,1,2000,Stim
31,4,10,1,637,Stim
32,0,28,1,2000,Stim
33,0,28,1,2000,Stim
34,0,23,1,2000,Stim
35,0,27,1,2000,Stim
36,4,10,1,387,Stim
37,0,28,1,2000,Stim
38,0,20,1,2000,Stim
39,0,22,1,2000,Stim
40,4,10,1,723,Stim
41,0,25,1,2000,Stim
42,0,27,1,2000,Stim
43,0,10,0,2000,Stim
44,0,28,1,2000,Stim
45,0,26,1,2000,Stim
46,0,24,1,2000,Stim
47,4,10,1,343,Stim
48,0,27,1,2000,Stim
49,0,23,1,2000,Stim
50,4,10,1,398,Stim
51,0,28,1,2000,Stim
52,0,26,1,2000,Stim
53,0,25,1,2000,Stim
54,0,29,1,2000,Stim
55,0,29,1,2000,Stim
56,0,20,1,2000,Stim
57,0,27,1,2000,Stim
58,4,10,1,420,Stim
59,0,22,1,2000,Stim
60,0,24,1,2000,Stim
61,4,10,1,643,Stim
62,0,25,1,2000,Stim
63,0,21,1,2000,Stim
64,0,23,1,2000,Stim
65,4,10,1,633,Stim
66,0,26,1,2000,Stim
67,0,24,1,2000,Stim
68,0,27,1,2000,Stim
69,0,21,1,2000,Stim
70,0,25,1,2000,Stim
71,0,23,1,2000,Stim
72,0,29,1,2000,Stim
73,0,25,1,2000,Stim
74,4,10,1,334,Stim
75,0,20,1,2000,Stim
76,0,27,1,2000,Stim
77,0,21,1,2000,Stim
78,0,22,1,2000,Stim
79,4,10,1,268,Stim
80,0,27,1,2000,Stim
81,0,29,1,2000,Stim
82,0,24,1,2000,Stim
83,0,21,1,2000,Stim
84,0,22,1,2000,Stim
85,0,20,1,2000,Stim
86,0,27,1,2000,Stim
87,4,10,1,1088,Stim
88,0,29,1,2000,Stim
89,0,26,1,2000,Stim
90,4,10,1,454,Stim
91,0,25,1,2000,Stim
92,0,20,1,2000,Stim
93,0,24,1,2000,Stim
94,0,23,1,2000,Stim
95,4,21,0,397,Stim
96,0,10,0,2000,Stim
97,0,24,1,2000,Stim
98,0,29,1,2000,Stim
99,0,25,1,2000,Stim
100,4,10,1,472,Stim
101,0,26,1,2000,Stim
102,0,26,1,2000,Stim
103,0,29,1,2000,Stim
104,0,24,1,2000,Stim
105,4,10,1,454,Stim
106,0,22,1,2000,Stim
107,0,28,1,2000,Stim
108,0,21,1,2000,Stim
109,0,23,1,2000,Stim
110,0,20,1,2000,Stim
111,0,22,1,2000,Stim
112,0,27,1,2000,Stim
113,0,26,1,2000,Stim
114,4,10,1,422,Stim
115,0,25,1,2000,Stim
116,0,29,1,2000,Stim
117,0,26,1,2000,Stim
118,4,10,1,574,Stim
119,0,25,1,2000,Stim
120,0,27,1,2000,Stim
121,0,29,1,2000,Stim
122,4,10,1,810,Stim
123,0,24,1,2000,Stim
124,0,26,1,2000,Stim
125,4,26,0,680,Stim
126,0,21,1,2000,Stim
127,0,24,1,2000,Stim
128,0,20,1,2000,Stim
129,0,22,1,2000,Stim
130,0,21,1,2000,Stim
131,4,10,1,1145,Stim
132,0,27,1,2000,Stim
133,0,28,1,2000,Stim
134,0,28,1,2000,Stim
135,0,29,1,2000,Stim
136,4,10,1,370,Stim
137,0,25,1,2000,Stim
138,4,10,1,632,Stim
139,0,21,1,2000,Stim
140,0,26,1,2000,Stim
141,0,26,1,2000,Stim
142,0,27,1,2000,Stim
143,0,23,1,2000,Stim
144,0,29,1,2000,Stim
145,4,27,0,753,Stim
146,4,10,1,823,Stim
147,0,28,1,2000,Stim
148,0,21,1,2000,Stim
149,0,20,1,2000,Stim
150,0,27,1,2000,Stim
151,0,22,1,2000,Stim
152,0,20,1,2000,Stim
153,4,10,1,552,Stim
154,0,21,1,2000,Stim
155,0,24,1,2000,Stim
156,0,25,1,2000,Stim
157,0,25,1,2000,Stim
158,0,28,1,2000,Stim
159,0,20,1,2000,Stim
