Trial,Resp,Type,Correct,Latency,Stim/Resp
3,0,11,1,1600,Stim
5,0,11,1,1600,Stim
7,0,11,1,1600,Stim
9,0,11,1,1600,Stim
11,4,10,1,778,Stim
13,0,11,1,1600,Stim
15,0,11,1,1600,Stim
17,0,11,1,1600,Stim
19,0,11,1,1600,Stim
21,0,10,0,1600,Stim
23,0,11,1,1600,Stim
25,0,11,1,1600,Stim
27,4,10,1,465,Stim
29,0,11,1,1600,Stim
31,0,11,1,1600,Stim
33,0,11,1,1600,Stim
35,0,11,1,1600,Stim
37,0,11,1,1600,Stim
39,4,10,1,423,Stim
41,0,11,1,1600,Stim
43,0,11,1,1600,Stim
45,0,11,1,1600,Stim
47,0,11,1,1600,Stim
49,4,10,1,360,Stim
51,0,11,1,1600,Stim
53,0,11,1,1600,Stim
55,0,11,1,1600,Stim
57,0,10,0,1600,Stim
59,0,11,1,1600,Stim
61,0,11,1,1600,Stim
63,0,11,1,1600,Stim
65,0,11,1,1600,Stim
67,0,11,1,1600,Stim
69,0,11,1,1600,Stim
71,0,11,1,1600,Stim
73,4,10,1,989,Stim
75,0,11,1,1600,Stim
77,0,11,1,1600,Stim
79,0,11,1,1600,Stim
81,0,11,1,1600,Stim
83,4,10,1,374,Stim
85,0,11,1,1600,Stim
87,0,11,1,1600,Stim
89,0,11,1,1600,Stim
91,0,11,1,1600,Stim
93,4,10,1,944,Stim
95,0,11,1,1600,Stim
97,0,11,1,1600,Stim
99,0,11,1,1600,Stim
101,4,10,1,505,Stim
103,0,11,1,1600,Stim
105,0,11,1,1600,Stim
107,0,11,1,1600,Stim
109,0,11,1,1600,Stim
111,0,11,1,1600,Stim
113,0,11,1,1600,Stim
115,4,10,1,342,Stim
117,0,11,1,1600,Stim
119,0,11,1,1600,Stim
121,0,11,1,1600,Stim
123,0,11,1,1600,Stim
125,0,11,1,1600,Stim
127,0,11,1,1600,Stim
129,0,11,1,1600,Stim
131,4,10,1,524,Stim
133,0,11,1,1600,Stim
135,0,11,1,1600,Stim
137,0,11,1,1600,Stim
139,0,11,1,1600,Stim
141,0,11,1,1600,Stim
143,4,10,1,560,Stim
145,0,11,1,1600,Stim
147,0,11,1,1600,Stim
149,4,10,1,481,Stim
151,0,11,1,1600,Stim
153,0,11,1,1600,Stim
155,0,11,1,1600,Stim
157,0,11,1,1600,Stim
159,4,10,1,573,Stim
161,0,11,1,1600,Stim
163,0,11,1,1600,Stim
165,0,11,1,1600,Stim
167,0,11,1,1600,Stim
169,4,10,1,347,Stim
171,0,11,1,1600,Stim
173,0,11,1,1600,Stim
175,0,11,1,1600,Stim
177,4,10,1,367,Stim
179,0,11,1,1600,Stim
181,0,11,1,1600,Stim
183,0,11,1,1600,Stim
185,0,11,1,1600,Stim
187,0,11,1,1600,Stim
189,0,11,1,1600,Stim
191,0,11,1,1600,Stim
193,4,10,1,722,Stim
195,0,11,1,1600,Stim
197,0,11,1,1600,Stim
199,0,11,1,1600,Stim
201,0,11,1,1600,Stim
203,4,10,1,1051,Stim
205,0,11,1,1600,Stim
207,0,11,1,1600,Stim
209,0,11,1,1600,Stim
211,0,11,1,1600,Stim
213,0,11,1,1600,Stim
215,4,10,1,826,Stim
217,0,11,1,1600,Stim
219,0,11,1,1600,Stim
221,0,11,1,1600,Stim
223,4,10,1,532,Stim
225,0,11,1,1600,Stim
227,0,11,1,1600,Stim
229,4,10,1,377,Stim
231,0,11,1,1600,Stim
233,0,11,1,1600,Stim
235,0,11,1,1600,Stim
237,0,11,1,1600,Stim
239,4,10,1,1042,Stim
241,0,11,1,1600,Stim
243,0,11,1,1600,Stim
245,0,11,1,1600,Stim
247,0,11,1,1600,Stim
249,0,11,1,1600,Stim
251,0,11,1,1600,Stim
253,4,10,1,477,Stim
255,0,11,1,1600,Stim
257,0,11,1,1600,Stim
259,0,11,1,1600,Stim
261,0,10,0,1600,Stim
