Trial,Resp,Type,Correct,Latency,Stim/Resp
3,0,11,1,2000,Stim
4,0,11,1,2000,Stim
5,0,11,1,2000,Stim
6,0,11,1,2000,Stim
7,4,10,1,327,Stim
8,0,11,1,2000,Stim
9,0,11,1,2000,Stim
10,0,11,1,2000,Stim
11,0,11,1,2000,Stim
12,0,11,1,2000,Stim
13,4,10,1,431,Stim
14,0,11,1,2000,Stim
15,0,11,1,2000,Stim
16,0,11,1,2000,Stim
17,4,10,1,480,Stim
18,0,11,1,2000,Stim
19,0,11,1,2000,Stim
20,0,11,1,2000,Stim
21,0,11,1,2000,Stim
22,0,11,1,2000,Stim
23,0,11,1,2000,Stim
24,0,11,1,2000,Stim
25,4,10,1,445,Stim
26,0,11,1,2000,Stim
27,0,11,1,2000,Stim
28,4,10,1,708,Stim
29,0,11,1,2000,Stim
30,0,11,1,2000,Stim
31,0,11,1,2000,Stim
32,0,11,1,2000,Stim
33,0,11,1,2000,Stim
34,0,11,1,2000,Stim
35,0,11,1,2000,Stim
36,4,10,1,453,Stim
37,0,11,1,2000,Stim
38,0,11,1,2000,Stim
39,0,11,1,2000,Stim
40,4,10,1,376,Stim
41,0,11,1,2000,Stim
42,0,11,1,2000,Stim
43,0,11,1,2000,Stim
44,0,11,1,2000,Stim
45,0,11,1,2000,Stim
46,0,11,1,2000,Stim
47,4,10,1,536,Stim
48,0,11,1,2000,Stim
49,0,11,1,2000,Stim
50,0,11,1,2000,Stim
51,0,11,1,2000,Stim
52,0,11,1,2000,Stim
53,4,10,1,442,Stim
54,0,11,1,2000,Stim
55,0,11,1,2000,Stim
56,0,11,1,2000,Stim
57,0,11,1,2000,Stim
58,0,11,1,2000,Stim
59,0,11,1,2000,Stim
60,0,11,1,2000,Stim
61,4,10,1,453,Stim
62,0,11,1,2000,Stim
63,0,11,1,2000,Stim
64,0,11,1,2000,Stim
65,4,10,1,587,Stim
66,0,11,1,2000,Stim
67,0,11,1,2000,Stim
68,0,11,1,2000,Stim
69,0,11,1,2000,Stim
70,0,11,1,2000,Stim
71,0,11,1,2000,Stim
72,0,11,1,2000,Stim
73,0,11,1,2000,Stim
74,4,10,1,502,Stim
75,0,11,1,2000,Stim
76,0,11,1,2000,Stim
77,0,11,1,2000,Stim
78,4,10,1,487,Stim
79,0,11,1,2000,Stim
80,0,11,1,2000,Stim
81,0,11,1,2000,Stim
82,0,11,1,2000,Stim
83,4,10,1,554,Stim
84,0,11,1,2000,Stim
85,0,11,1,2000,Stim
86,0,11,1,2000,Stim
87,0,11,1,2000,Stim
88,0,11,1,2000,Stim
89,0,11,1,2000,Stim
90,4,10,1,408,Stim
91,0,11,1,2000,Stim
92,0,11,1,2000,Stim
93,0,11,1,2000,Stim
94,0,11,1,2000,Stim
95,0,11,1,2000,Stim
96,0,11,1,2000,Stim
97,0,11,1,2000,Stim
98,0,11,1,2000,Stim
99,4,10,1,411,Stim
100,0,11,1,2000,Stim
101,0,11,1,2000,Stim
102,0,11,1,2000,Stim
103,0,11,1,2000,Stim
104,0,11,1,2000,Stim
105,0,11,1,2000,Stim
106,4,10,1,401,Stim
107,0,11,1,2000,Stim
108,0,11,1,2000,Stim
109,0,11,1,2000,Stim
110,0,11,1,2000,Stim
111,0,11,1,2000,Stim
112,4,10,1,485,Stim
113,0,11,1,2000,Stim
114,0,11,1,2000,Stim
115,0,11,1,2000,Stim
116,4,10,1,418,Stim
117,0,11,1,2000,Stim
118,0,11,1,2000,Stim
119,0,11,1,2000,Stim
120,0,11,1,2000,Stim
121,4,10,1,596,Stim
122,0,11,1,2000,Stim
123,0,11,1,2000,Stim
124,0,11,1,2000,Stim
125,0,11,1,2000,Stim
126,0,11,1,2000,Stim
127,4,10,1,554,Stim
128,0,11,1,2000,Stim
129,0,11,1,2000,Stim
130,0,11,1,2000,Stim
131,0,11,1,2000,Stim
132,4,10,1,430,Stim
133,0,11,1,2000,Stim
134,0,11,1,2000,Stim
135,0,11,1,2000,Stim
136,0,11,1,2000,Stim
137,0,11,1,2000,Stim
138,0,11,1,2000,Stim
139,4,10,1,389,Stim
140,0,11,1,2000,Stim
141,0,11,1,2000,Stim
142,0,11,1,2000,Stim
143,0,11,1,2000,Stim
144,4,10,1,480,Stim
