Trial,Resp,Type,Correct,Latency,Stim/Resp
3,0,26,1,2000,Stim
4,0,27,1,2000,Stim
5,0,29,1,2000,Stim
6,4,10,1,508,Stim
7,0,29,1,2000,Stim
8,0,25,1,2000,Stim
9,0,27,1,2000,Stim
10,0,29,1,2000,Stim
11,0,20,1,2000,Stim
12,0,28,1,2000,Stim
13,0,27,1,2000,Stim
14,0,29,1,2000,Stim
15,4,10,1,902,Stim
16,0,29,1,2000,Stim
17,0,27,1,2000,Stim
18,0,24,1,2000,Stim
19,0,21,1,2000,Stim
20,0,23,1,2000,Stim
21,0,24,1,2000,Stim
22,4,10,1,731,Stim
23,0,27,1,2000,Stim
24,0,25,1,2000,Stim
25,0,27,1,2000,Stim
26,0,22,1,2000,Stim
27,4,10,1,697,Stim
28,0,22,1,2000,Stim
29,0,29,1,2000,Stim
30,0,20,1,2000,Stim
31,0,28,1,2000,Stim
32,0,24,1,2000,Stim
33,0,10,0,2000,Stim
34,0,27,1,2000,Stim
35,4,10,1,641,Stim
36,0,21,1,2000,Stim
37,0,23,1,2000,Stim
38,0,27,1,2000,Stim
39,0,24,1,2000,Stim
40,4,10,1,1002,Stim
41,0,25,1,2000,Stim
42,0,27,1,2000,Stim
43,0,23,1,2000,Stim
44,0,27,1,2000,Stim
45,4,10,1,577,Stim
46,0,24,1,2000,Stim
47,0,22,1,2000,Stim
48,0,21,1,2000,Stim
49,0,25,1,2000,Stim
50,4,10,1,587,Stim
51,0,27,1,2000,Stim
52,0,22,1,2000,Stim
53,0,27,1,2000,Stim
54,0,25,1,2000,Stim
55,0,24,1,2000,Stim
56,4,10,1,651,Stim
57,0,24,1,2000,Stim
58,0,27,1,2000,Stim
59,0,10,0,2000,Stim
60,4,23,0,421,Stim
61,0,25,1,2000,Stim
62,0,27,1,2000,Stim
63,4,10,1,522,Stim
64,0,29,1,2000,Stim
65,0,21,1,2000,Stim
66,0,23,1,2000,Stim
67,0,10,0,2000,Stim
68,0,24,1,2000,Stim
69,0,27,1,2000,Stim
70,0,25,1,2000,Stim
71,0,22,1,2000,Stim
72,0,23,1,2000,Stim
73,0,29,1,2000,Stim
74,0,27,1,2000,Stim
75,0,21,1,2000,Stim
76,4,10,1,849,Stim
77,0,22,1,2000,Stim
78,0,27,1,2000,Stim
79,0,29,1,2000,Stim
80,0,24,1,2000,Stim
81,0,22,1,2000,Stim
82,4,10,1,583,Stim
83,0,20,1,2000,Stim
84,0,27,1,2000,Stim
85,0,25,1,2000,Stim
86,0,29,1,2000,Stim
87,4,10,1,493,Stim
88,0,28,1,2000,Stim
89,0,25,1,2000,Stim
90,0,21,1,2000,Stim
91,4,10,1,621,Stim
92,0,27,1,2000,Stim
93,0,23,1,2000,Stim
94,0,23,1,2000,Stim
95,0,22,1,2000,Stim
96,0,21,1,2000,Stim
97,0,28,1,2000,Stim
98,0,20,1,2000,Stim
99,4,10,1,610,Stim
100,0,27,1,2000,Stim
101,0,22,1,2000,Stim
102,0,29,1,2000,Stim
103,0,25,1,2000,Stim
104,0,24,1,2000,Stim
105,0,27,1,2000,Stim
106,4,10,1,670,Stim
107,0,25,1,2000,Stim
108,0,29,1,2000,Stim
109,0,22,1,2000,Stim
110,0,27,1,2000,Stim
111,0,28,1,2000,Stim
112,4,10,1,998,Stim
113,0,23,1,2000,Stim
114,0,27,1,2000,Stim
115,0,24,1,2000,Stim
116,0,21,1,2000,Stim
117,0,29,1,2000,Stim
118,4,10,1,517,Stim
119,0,22,1,2000,Stim
120,0,27,1,2000,Stim
121,0,28,1,2000,Stim
122,0,22,1,2000,Stim
123,0,23,1,2000,Stim
124,0,27,1,2000,Stim
125,0,21,1,2000,Stim
126,4,10,1,592,Stim
127,0,24,1,2000,Stim
128,0,27,1,2000,Stim
129,0,25,1,2000,Stim
130,0,22,1,2000,Stim
131,0,24,1,2000,Stim
132,0,25,1,2000,Stim
133,4,10,1,666,Stim
134,0,28,1,2000,Stim
135,0,21,1,2000,Stim
136,0,27,1,2000,Stim
137,4,10,1,673,Stim
138,0,23,1,2000,Stim
139,0,24,1,2000,Stim
140,0,29,1,2000,Stim
141,4,10,1,596,Stim
142,0,27,1,2000,Stim
143,0,20,1,2000,Stim
144,4,27,0,607,Stim
145,0,24,1,2000,Stim
146,0,22,1,2000,Stim
147,0,25,1,2000,Stim
