Trial,Resp,Type,Correct,Latency,Stim/Resp
3,0,27,1,2000,Stim
4,0,26,1,2000,Stim
5,4,10,1,371,Stim
6,0,29,1,2000,Stim
7,0,26,1,2000,Stim
8,0,29,1,2000,Stim
9,0,25,1,2000,Stim
10,4,10,1,282,Stim
11,0,29,1,2000,Stim
12,0,20,1,2000,Stim
13,0,28,1,2000,Stim
14,4,10,1,344,Stim
15,0,29,1,2000,Stim
16,0,29,1,2000,Stim
17,4,10,1,279,Stim
18,0,21,1,2000,Stim
19,0,23,1,2000,Stim
20,0,24,1,2000,Stim
21,0,26,1,2000,Stim
22,4,10,1,499,Stim
23,0,25,1,2000,Stim
24,4,10,1,822,Stim
25,0,22,1,2000,Stim
26,0,29,1,2000,Stim
27,0,20,1,2000,Stim
28,0,28,1,2000,Stim
29,4,10,1,279,Stim
30,0,21,1,2000,Stim
31,0,23,1,2000,Stim
32,4,10,1,538,Stim
33,0,24,1,2000,Stim
34,0,25,1,2000,Stim
35,4,10,1,545,Stim
36,0,23,1,2000,Stim
37,4,10,1,418,Stim
38,4,26,0,551,Stim
39,0,24,1,2000,Stim
40,0,22,1,2000,Stim
41,0,21,1,2000,Stim
42,4,10,1,383,Stim
43,0,28,1,2000,Stim
44,0,29,1,2000,Stim
45,0,20,1,2000,Stim
46,0,22,1,2000,Stim
47,4,10,1,375,Stim
48,0,25,1,2000,Stim
49,0,26,1,2000,Stim
50,0,24,1,2000,Stim
51,4,10,1,696,Stim
52,0,23,1,2000,Stim
53,0,25,1,2000,Stim
54,4,10,1,368,Stim
55,0,26,1,2000,Stim
56,0,29,1,2000,Stim
57,0,20,1,2000,Stim
58,4,10,1,325,Stim
59,0,22,1,2000,Stim
60,0,21,1,2000,Stim
61,0,23,1,2000,Stim
62,0,26,1,2000,Stim
63,0,24,1,2000,Stim
64,4,10,1,356,Stim
65,0,25,1,2000,Stim
66,0,23,1,2000,Stim
67,0,29,1,2000,Stim
68,4,10,1,516,Stim
69,0,21,1,2000,Stim
70,0,22,1,2000,Stim
71,4,10,1,402,Stim
72,0,29,1,2000,Stim
73,0,22,1,2000,Stim
74,0,20,1,2000,Stim
75,4,10,1,448,Stim
76,0,29,1,2000,Stim
77,0,28,1,2000,Stim
78,0,25,1,2000,Stim
79,0,21,1,2000,Stim
80,0,26,1,2000,Stim
81,4,10,1,382,Stim
82,0,23,1,2000,Stim
83,0,29,1,2000,Stim
84,4,10,1,346,Stim
85,0,24,1,2000,Stim
86,0,23,1,2000,Stim
87,0,21,1,2000,Stim
88,0,28,1,2000,Stim
89,0,20,1,2000,Stim
90,4,10,1,404,Stim
91,0,22,1,2000,Stim
92,0,29,1,2000,Stim
93,0,25,1,2000,Stim
94,4,10,1,694,Stim
95,0,26,1,2000,Stim
96,0,29,1,2000,Stim
97,0,22,1,2000,Stim
98,4,10,1,588,Stim
99,0,28,1,2000,Stim
100,0,23,1,2000,Stim
101,4,10,1,757,Stim
102,0,24,1,2000,Stim
103,4,21,0,579,Stim
104,0,20,1,2000,Stim
105,4,10,1,686,Stim
106,0,29,1,2000,Stim
107,0,26,1,2000,Stim
108,0,22,1,2000,Stim
109,4,10,1,695,Stim
110,0,28,1,2000,Stim
111,0,23,1,2000,Stim
112,4,10,1,1062,Stim
113,0,21,1,2000,Stim
114,0,26,1,2000,Stim
115,0,24,1,2000,Stim
116,4,10,1,463,Stim
117,0,22,1,2000,Stim
118,0,25,1,2000,Stim
119,0,26,1,2000,Stim
120,0,28,1,2000,Stim
121,0,28,1,2000,Stim
122,0,21,1,2000,Stim
123,4,10,1,427,Stim
124,0,23,1,2000,Stim
125,0,24,1,2000,Stim
126,0,29,1,2000,Stim
127,4,10,1,610,Stim
128,0,20,1,2000,Stim
129,4,10,1,1229,Stim
130,0,25,1,2000,Stim
131,0,20,1,2000,Stim
132,0,28,1,2000,Stim
133,0,21,1,2000,Stim
134,0,24,1,2000,Stim
