Trial,Resp,Type,Correct,Latency,Stim/Resp
3,0,11,1,2000,Stim
4,0,11,1,2000,Stim
5,0,11,1,2000,Stim
6,0,11,1,2000,Stim
7,0,11,1,2000,Stim
8,0,11,1,2000,Stim
9,0,11,1,2000,Stim
10,4,10,1,298,Stim
11,0,11,1,2000,Stim
12,0,11,1,2000,Stim
13,0,11,1,2000,Stim
14,0,11,1,2000,Stim
15,4,10,1,281,Stim
16,0,11,1,2000,Stim
17,0,11,1,2000,Stim
18,0,11,1,2000,Stim
19,0,11,1,2000,Stim
20,0,11,1,2000,Stim
21,0,11,1,2000,Stim
22,4,10,1,661,Stim
23,0,11,1,2000,Stim
24,0,11,1,2000,Stim
25,0,11,1,2000,Stim
26,0,11,1,2000,Stim
27,4,10,1,417,Stim
28,0,11,1,2000,Stim
29,0,11,1,2000,Stim
30,0,11,1,2000,Stim
31,0,11,1,2000,Stim
32,4,10,1,274,Stim
33,0,11,1,2000,Stim
34,0,11,1,2000,Stim
35,0,11,1,2000,Stim
36,0,11,1,2000,Stim
37,0,11,1,2000,Stim
38,4,10,1,516,Stim
39,0,11,1,2000,Stim
40,0,11,1,2000,Stim
41,0,11,1,2000,Stim
42,4,10,1,894,Stim
43,0,11,1,2000,Stim
44,0,11,1,2000,Stim
45,0,11,1,2000,Stim
46,0,11,1,2000,Stim
47,4,10,1,400,Stim
48,0,11,1,2000,Stim
49,0,11,1,2000,Stim
50,4,10,1,480,Stim
51,0,11,1,2000,Stim
52,0,11,1,2000,Stim
53,0,11,1,2000,Stim
54,0,11,1,2000,Stim
55,0,11,1,2000,Stim
56,0,11,1,2000,Stim
57,0,11,1,2000,Stim
58,4,10,1,480,Stim
59,0,11,1,2000,Stim
60,0,11,1,2000,Stim
61,0,11,1,2000,Stim
62,4,10,1,373,Stim
63,0,11,1,2000,Stim
64,0,11,1,2000,Stim
65,0,11,1,2000,Stim
66,0,11,1,2000,Stim
67,0,11,1,2000,Stim
68,4,10,1,480,Stim
69,0,11,1,2000,Stim
70,0,11,1,2000,Stim
71,0,11,1,2000,Stim
72,0,11,1,2000,Stim
73,0,11,1,2000,Stim
74,0,11,1,2000,Stim
75,0,11,1,2000,Stim
76,0,11,1,2000,Stim
77,0,11,1,2000,Stim
78,4,10,1,480,Stim
79,0,11,1,2000,Stim
80,0,11,1,2000,Stim
81,0,11,1,2000,Stim
82,0,11,1,2000,Stim
83,0,11,1,2000,Stim
84,0,11,1,2000,Stim
85,4,10,1,538,Stim
86,0,11,1,2000,Stim
87,0,11,1,2000,Stim
88,4,11,0,480,Stim
89,0,11,1,2000,Stim
90,0,11,1,2000,Stim
91,4,10,1,480,Stim
92,0,11,1,2000,Stim
93,0,11,1,2000,Stim
94,0,11,1,2000,Stim
95,0,11,1,2000,Stim
96,4,10,1,440,Stim
97,0,11,1,2000,Stim
98,0,11,1,2000,Stim
99,0,11,1,2000,Stim
100,4,10,1,518,Stim
101,0,11,1,2000,Stim
102,0,11,1,2000,Stim
103,0,11,1,2000,Stim
104,0,11,1,2000,Stim
105,4,10,1,423,Stim
106,0,11,1,2000,Stim
107,0,11,1,2000,Stim
108,0,11,1,2000,Stim
109,0,11,1,2000,Stim
110,0,11,1,2000,Stim
111,4,10,1,480,Stim
112,0,11,1,2000,Stim
113,0,11,1,2000,Stim
114,0,11,1,2000,Stim
115,4,10,1,501,Stim
116,0,11,1,2000,Stim
117,0,11,1,2000,Stim
118,4,10,1,511,Stim
119,0,11,1,2000,Stim
120,0,11,1,2000,Stim
121,0,11,1,2000,Stim
122,0,11,1,2000,Stim
123,0,11,1,2000,Stim
124,0,11,1,2000,Stim
125,0,11,1,2000,Stim
126,4,10,1,514,Stim
127,0,11,1,2000,Stim
128,0,11,1,2000,Stim
129,0,11,1,2000,Stim
130,0,11,1,2000,Stim
131,0,11,1,2000,Stim
132,0,11,1,2000,Stim
133,4,10,1,365,Stim
134,0,11,1,2000,Stim
135,0,11,1,2000,Stim
136,0,11,1,2000,Stim
137,0,11,1,2000,Stim
138,0,11,1,2000,Stim
139,0,11,1,2000,Stim
140,0,11,1,2000,Stim
141,4,10,1,415,Stim
142,0,11,1,2000,Stim
