Stim type,VNS type,First Lick,Lick Time,Lick Count,Hit Count,Reward Type
0,0,0.0021,0,0,0,0
0.9,0.001,0,0,0.002,0,0.01
0,0,0,0,0.001,0,0
0,0,0,0,0.001,0,0
0,0,0.002,0,0,0,0
0,0,0,0,0.001,0,0
3.6,0.001,0.0005,0.0005,0.003,0.001,0.001
0,0,0,0,0,0,0
0,0,0.0013,0,0,0,0
0,0,0,0,0,0,0
0,0,0.0014,0,0,0,0
0,0,0.0027,0,0,0,0
3.6,0.001,0.0007,0.0007,0.002,0.001,0.001
0,0,0,0,0,0,0
0,0,0.0019,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0.0023,0,0,0,0
0,0,0.0003,0.0003,0.001,0.001,0
3.6,-0.001,0.001,0,0,0,0.001
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.9,0.001,0.0014,0,0,0,0.01
0,0,0.0027,0,0,0,0
0,0,0.0007,0.0007,0.001,0.001,0
0,0,0.0004,0.0004,0.001,0.001,0
3.6,0.001,0,0,0.004,0,0.001
0,0,0,0,0,0,0
0,0,0.0026,0,0,0,0
0,0,0.0006,0.0006,0.002,0.001,0
0,0,0.0006,0.0006,0.003,0.001,0
0.9,0.001,0.0007,0.0007,0.002,0.001,0.01
0,0,0.0012,0,0,0,0
0,0,0,0,0,0,0
0,0,0.0027,0,0,0,0
3.6,0.001,0.0007,0.0007,0.002,0.001,0.001
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0.003,0,0,0,0
0.9,0.001,0.001,0.001,0.001,0.001,0.01
0,0,0,0,0,0,0
0,0,0.0023,0,0,0,0
0,0,0.0003,0.0003,0.003,0.001,0
0.9,-0.001,0.0008,0.0008,0.001,0.001,0.01
0,0,0.0012,0,0,0,0
0,0,0,0,0,0,0
0,0,0.0025,0,0,0,0
0,0,0.0005,0.0005,0.001,0.001,0
0,0,0.001,0,0,0,0
